group_label	center_PC1	center_PC2	center_PC3	center_PC4	center_PC5	center_PC6
Ashkenazi	0.06720120795416992	-0.0221155343860076	-0.043888243634267625	0.007955926648606318	-0.005246807085386936	0.001718772607628785
England	-0.014499294908519098	0.014726453413812948	-0.005996699423974002	0.002142423069880775	0.004016666324962896	-0.001006302444041768
France	0.0029391128920909716	0.013951680857849268	0.0038607278220645033	0.0005430844140956789	-0.00494335845130439	0.0033957937406938854
Germany	-0.012668415180741022	-0.0004417526060635286	-0.0002857594321865672	0.002110294545936426	0.007197521968431419	0.00707672161750118
Italy	0.0340767149602988	0.005216304291416744	0.014885303180846233	-0.005231614494994696	0.005899663743524862	-0.0008104452869249479
Netherlands	-0.01630422280825603	0.011247844906787024	-0.0077013835999024645	-0.0015889296635438763	0.013133441847855986	0.010843728241331282
Poland	-0.02152578930018086	-0.03122468043754081	0.010000954016877232	0.013748759258386038	-0.0033668131743772706	0.0021543689365613916
Republic of Ireland	-0.017092891416600885	0.01917338347030996	-0.006876198567019957	0.009792003034850142	-0.005991488381678603	-0.02568754666830423
Scotland	-0.016056481873868114	0.01683879190387384	-0.006495144742732788	0.0053490118662256406	-0.0008022965910372768	-0.012808683002631303
Spain	0.017983972319223565	0.018228191152797064	0.011306090326913463	-0.001555166820450002	-0.023238545889202482	0.009911834732591933
Wales	-0.01484759549092259	0.016142621700750752	-0.005787287083965378	0.004055779882254588	0.0006186077441168223	-0.006321485378892457
Portugal	0.02058651667887324	0.016816556873266324	0.011273141109345085	-0.0032776249556000486	-0.02133919978780252	0.008999338852156487
Denmark	-0.022129915030359024	0.006929482284064628	-0.009090532500006158	-0.0035809183578725677	0.012914246828119867	0.01160376219666717
Sweden	-0.02620640406535131	0.0012517198893090369	-0.010044321318216485	-0.009763612297935233	0.010265872184803106	0.01048397451073346
Finland	-0.03962735007367405	-0.031194329461328076	-0.014583285873292934	-0.06137985048046292	-0.017409980019405667	-0.010067522578273012
Switzerland	0.0001351379493805425	0.009255798513592995	0.00168420852866762	-0.002079993072089088	0.005545569299051954	0.0066235468289253495
Russia	-0.022361745566730616	-0.037340104114509824	0.008787350220172966	0.006050349360152427	-0.0064286280382211	-0.0037626142838433265
Austria	-0.006666464324376583	-0.005625681091505561	0.00451867124778109	0.0026964062811181606	0.00553664488008992	0.005360170785238535
Cyprus	0.06473609084350641	-0.005233666217755155	0.02160295330738699	-0.014558305154965437	0.02288952959191658	-0.013802285517231873
Norway	-0.024082676221896034	0.0072182983086688385	-0.010873124407957289	-0.006901440487540025	0.011307167636580242	0.00757252717252945
Belgium	-0.007174084708574264	0.011263764233952204	-0.002262958455428274	-0.0008587923564264756	0.0057593387108057165	0.006828585011957222
Greece	0.039211701817968424	-0.007144477654700332	0.01934759415058882	-0.004899746244020689	0.014108752090066505	-0.006598476662251078
Czech Republic	-0.013944444171580887	-0.017709264521137063	0.007044497032597703	0.007887388979646857	0.002162223218223221	0.004409090755983821
Malta	0.054011887871629395	0.0007431687534194426	0.023714595386215623	-0.0168727459036396	0.013241434501895688	-0.01281012450825924
Hungary	-0.00537600673731458	-0.015663829403619198	0.007939705402848288	0.005775604851473633	0.002336925408151532	0.0010145625650756255
Bulgaria	0.01761021339786961	-0.016248361154215345	0.01707014266860254	0.0017829414886589342	0.007955744834537502	-0.003916857130431876
Lithuania	-0.03420885182606912	-0.04412239331998348	0.011320336015324084	0.017122135399467397	-0.010915048901433362	-0.0005047680735148954
Romania	0.00951302213624388	-0.01571714740134859	0.01418732672957278	0.0025225415218740393	0.005536458129936828	-0.0030695915587242487
Ukraine	-0.018933224840816214	-0.034879730479135757	0.01141496046582202	0.011729370195851371	-0.004027349151677479	-0.0005679333396819642
Latvia	-0.034430556513023174	-0.04429284527810526	0.010072142116688576	0.013675843867036545	-0.011256259570847017	-0.00107563516311077
Serbia/Montenegro	0.007010311004319721	-0.017678653980728796	0.016435061267569495	0.0055733722041413965	0.005090159336305104	-0.0012596123580387339
Croatia	0.0011737188915362789	-0.018915117233559892	0.014608255648748677	0.007289537538722162	0.0037001225238768943	0.0006215831681249429
Bosnia and Herzegovina	0.0020778667589373785	-0.020586233811957705	0.015064237517112172	0.007576900750195538	0.0036907244289130243	-0.0007499108790055643
Turkey	0.030702516626664646	-0.013606658708972893	0.013729339332910926	-0.006889031376531162	0.012981109906142497	-0.011990926057771847
Slovakia	-0.012538275146246598	-0.022390513227635904	0.009972567018620135	0.00987696094801229	-0.0002874231338966633	0.0017572359727563182
Iceland	-0.02444657905174024	0.011586261745123849	-0.011902040842591203	-0.002826282105321741	0.01011054489167399	0.0019494601843110047
Macedonia	0.020542049894534342	-0.012664903882234471	0.01968631897783468	0.00138933991044573	0.0106532564848034	-0.004445837036608934
Gibraltar	0.02207201664755348	0.01644371734431002	0.01139237971362789	-0.002757604312422296	-0.01683171531960417	0.00672784281401878
Estonia	-0.0365559117165067	-0.037254672889562045	0.00302139421667535	-0.004605151247293315	-0.010550041921555316	-0.0021458253403971654
Albania	0.03497215095794399	-0.004452321954972336	0.021291622183816923	-0.0024027804837524164	0.012534958540714248	-0.0057096434899443615
CEU	-0.014948563174188596	0.012646613932451724	-0.004976032633565466	0.001135252962601493	0.0037087850642273	0.0010314582101843398
IBS	0.016554927613432312	0.015959565520916236	0.009143242010833864	-0.0007962801813597212	-0.014874411129050283	0.0056186224475489
TSI	0.029319273544433862	0.007013694398731218	0.011217107940276954	-0.003037587087418406	0.0036033799545003922	-0.00040871173241976744
FIN	-0.0378299485719747	-0.0276235664724242	-0.01198797868741674	-0.04483695897651899	-0.0118847116083102	-0.006614220808249807
GBR	-0.014657048560538564	0.01407001163030433	-0.004800974974469308	0.002879867274822151	0.0013199978783331706	-0.002378737576031224
French	0.0009185952897086948	0.011664419873242	0.0018917254936676616	0.0011576420797378098	-0.0024711032855017872	0.0016220156521551965
Sardinian	0.04228876678559904	0.021907971142184398	0.021363412154280326	-0.003922212245786602	-0.016463937106777553	0.014845647522951068
Russian	-0.025965782878354195	-0.03380316365959234	0.0031864200158013196	-0.004941958910465037	-0.0063222566431408635	-0.00562040782102552
Basque	0.008894881714476463	0.025386791980532095	0.011978360100215107	0.0019072665087107733	-0.02965363565605836	0.012693403193708524
Adygei	0.03594919811171399	-0.015207571508503761	0.007176043768858494	-0.009180756303400086	0.018612774463521373	-0.01830581439369529
Orcadian	-0.01709646329810719	0.01340836097646635	-0.005753254005057466	0.0031584573099115104	0.00044760345425068105	-0.005357570083150018
BergamoItalian	0.021994788638445544	0.008740527631343512	0.011332920714246094	-0.001642053557321379	0.0003423681310788731	0.0024448648911480613
Tuscan	0.030148061290593397	0.005752389295507079	0.010200606385241279	-0.004818508061660917	0.004260986261871677	-0.0008589102518283382
